Code,MCC Group1,Group Description1
3636,MCCG3,Hotels
3637,MCCG3,Hotels
3638,MCCG3,Hotels
3639,MCCG3,Hotels
3640,MCCG3,Hotels
3641,MCCG3,Hotels
3642,MCCG3,Hotels
3643,MCCG3,Hotels
3644,MCCG3,Hotels
3645,MCCG3,Hotels
3646,MCCG3,Hotels
3647,MCCG3,Hotels
3648,MCCG3,Hotels
3649,MCCG3,Hotels
3650,MCCG3,Hotels
3651,MCCG3,Hotels
3652,MCCG3,Hotels
3653,MCCG3,Hotels
3654,MCCG3,Hotels
3655,MCCG3,Hotels
3656,MCCG3,Hotels
3657,MCCG3,Hotels
3658,MCCG3,Hotels
3659,MCCG3,Hotels
3660,MCCG3,Hotels
3661,MCCG3,Hotels
3662,MCCG3,Hotels
3663,MCCG3,Hotels
3664,MCCG3,Hotels
3665,MCCG3,Hotels
3666,MCCG3,Hotels
3667,MCCG3,Hotels
3668,MCCG3,Hotels
3669,MCCG3,Hotels
3670,MCCG3,Hotels
3671,MCCG3,Hotels
3672,MCCG3,Hotels
3673,MCCG3,Hotels
3674,MCCG3,Hotels
3675,MCCG3,Hotels
3676,MCCG3,Hotels
3677,MCCG3,Hotels
3678,MCCG3,Hotels
3679,MCCG3,Hotels
3680,MCCG3,Hotels
3681,MCCG3,Hotels
3682,MCCG3,Hotels
3683,MCCG3,Hotels
3684,MCCG3,Hotels
3685,MCCG3,Hotels
3686,MCCG3,Hotels
3687,MCCG3,Hotels
3688,MCCG3,Hotels
3689,MCCG3,Hotels
3690,MCCG3,Hotels
3691,MCCG3,Hotels
3692,MCCG3,Hotels
3693,MCCG3,Hotels
3694,MCCG3,Hotels
3695,MCCG3,Hotels
3696,MCCG3,Hotels
3697,MCCG3,Hotels
3698,MCCG3,Hotels
3699,MCCG3,Hotels
3700,MCCG3,Hotels
3701,MCCG3,Hotels
3702,MCCG3,Hotels
3703,MCCG3,Hotels
3704,MCCG3,Hotels
3705,MCCG3,Hotels
3706,MCCG3,Hotels
3707,MCCG3,Hotels
3708,MCCG3,Hotels
3709,MCCG3,Hotels
3710,MCCG3,Hotels
3711,MCCG3,Hotels
3712,MCCG3,Hotels
3713,MCCG3,Hotels
3714,MCCG3,Hotels
3715,MCCG3,Hotels
3716,MCCG3,Hotels
3717,MCCG3,Hotels
3718,MCCG3,Hotels
3719,MCCG3,Hotels
3720,MCCG3,Hotels
3721,MCCG3,Hotels
3722,MCCG3,Hotels
3723,MCCG3,Hotels
3724,MCCG3,Hotels
3725,MCCG3,Hotels
3726,MCCG3,Hotels
3727,MCCG3,Hotels
3728,MCCG3,Hotels
3729,MCCG3,Hotels
3730,MCCG3,Hotels
3731,MCCG3,Hotels
3732,MCCG3,Hotels
3733,MCCG3,Hotels
3734,MCCG3,Hotels
3735,MCCG3,Hotels
3736,MCCG3,Hotels
3737,MCCG3,Hotels
3738,MCCG3,Hotels
3739,MCCG3,Hotels
3740,MCCG3,Hotels
3741,MCCG3,Hotels
3742,MCCG3,Hotels
3743,MCCG3,Hotels
3744,MCCG3,Hotels
3745,MCCG3,Hotels
3746,MCCG3,Hotels
3747,MCCG3,Hotels
3748,MCCG3,Hotels
3749,MCCG3,Hotels
3750,MCCG3,Hotels
3751,MCCG3,Hotels
3752,MCCG3,Hotels
3753,MCCG3,Hotels
3754,MCCG3,Hotels
3755,MCCG3,Hotels
3756,MCCG3,Hotels
3757,MCCG3,Hotels
3758,MCCG3,Hotels
3759,MCCG3,Hotels
3760,MCCG3,Hotels
3761,MCCG3,Hotels
3762,MCCG3,Hotels
3763,MCCG3,Hotels
